Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
"Total, all occupations",00-0000,145355.8,160983.7,15628,10.8,6.5,50557.3,"$34,750",— ,— ,— 
Management occupations,11-0000,8861.5,9498,636.6,7.2,22.2,2586.7,"$93,910",— ,— ,— 
Top executives,11-1000,2361.5,2626.8,265.2,11.2,3.3,717.4,"$99,550",— ,— ,— 
Chief executives,11-1011,330.5,347.9,17.4,5.3,17.7,87.8,"$168,140",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,1972.7,2216.8,244.1,12.4,1,613.1,"$95,440",Bachelor's degree,Less than 5 years,None
Legislators,11-1031,58.4,62.1,3.7,6.4,— ,16.5,"$19,780",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,637.4,700.5,63.1,9.9,3.4,203.3,"$107,950",— ,— ,— 
Advertising and promotions managers,11-2011,35.5,38,2.4,6.9,17.8,13.4,"$88,590",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,539.8,592.5,52.7,9.8,2.6,168.6,"$110,340",— ,— ,— 
Marketing managers,11-2021,180.5,203.4,22.9,12.7,2.6,61.7,"$119,480",Bachelor's degree,5 years or more,None
Sales managers,11-2022,359.3,389,29.8,8.3,2.7,106.9,"$105,260",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2031,62.1,70.1,8,12.9,1.6,21.3,"$95,450",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,1647.5,1799.7,152.1,9.2,3.3,459.1,"$100,720",— ,— ,— 
Administrative services managers,11-3011,280.8,315,34.2,12.2,0.1,79.9,"$81,080",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,332.7,383.6,50.9,15.3,3.1,97.1,"$120,950",Bachelor's degree,5 years or more,None
Financial managers,11-3031,532.1,579.2,47.1,8.9,5.1,146.9,"$109,740",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,172.7,168.6,-4.1,-2.4,6.1,31.4,"$89,190",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,71.9,73.4,1.5,2.1,0.3,17.3,"$100,170",Bachelor's degree,5 years or more,None
